ticker|company|date|close
TJSCF|Tianjin Development Holdings Ltd|2025-03-04|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-03|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-28|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-27|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-26|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-25|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-24|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-21|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-20|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-19|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-18|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-14|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-13|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-12|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-11|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-10|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-07|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-06|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-05|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-04|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-02-03|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-31|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-30|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-29|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-28|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-27|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-24|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-23|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-22|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-01-21|0.2571
